Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Anthem of Champions,FDN,Foundations,116,normal,rare,1,95580,42fe3a40-9cbe-4235-86f9-32576aaebba8,0.22,false,false,near_mint,en,GBP,2026-07-13T13:03:03.623Z
"Jan Jansen, Chaos Crafter",CLB,Commander Legends: Battle for Baldur's Gate,424,normal,rare,1,69197,a40cb9ff-9f85-44e0-90b4-574814868a25,0.23,false,false,near_mint,en,GBP,2026-07-13T13:03:03.622Z
"Ragost, Deft Gastronaut",EOE,Edge of Eternities,224,normal,rare,1,106939,011374c3-f69d-4573-8c32-5bd0fe083d6a,0.26,false,false,near_mint,en,GBP,2026-07-13T13:03:03.621Z
Plumecreed Mentor,BLB,Bloomburrow,228,normal,uncommon,1,95819,b1aa988f-547e-449a-9f1a-296c01d68d96,0.19,false,false,near_mint,en,GBP,2026-07-13T13:03:03.620Z
"Tolsimir, Friend to Wolves",WAR,War of the Spark,224,normal,rare,1,44180,f7fce047-49f1-40ae-8410-6501cb0f8201,0.26,false,false,near_mint,en,GBP,2026-07-13T13:03:03.619Z
Forge Boss,SNC,Streets of New Capenna,189,normal,uncommon,1,67746,5052247d-ef72-47f0-973d-2be98bf754c1,0.1,false,false,near_mint,en,GBP,2026-07-13T13:03:03.618Z
Embalmed Ascendant,DFT,Aetherdrift,201,normal,uncommon,1,103063,5cf181ae-daa7-42f9-b667-5e679d80cf34,0.14,false,false,near_mint,en,GBP,2026-07-13T13:03:03.617Z
Humiliate,STX,Strixhaven: School of Mages,193,normal,uncommon,1,58345,dc3ae8cb-fbdb-45a8-83c2-cbf4aff01f90,0.1,false,false,near_mint,en,GBP,2026-07-13T13:03:03.616Z
Fracture,STX,Strixhaven: School of Mages,188,normal,uncommon,1,58245,a11224f8-06ea-4ec3-85e6-d5c8d906840c,0.34,false,false,near_mint,en,GBP,2026-07-13T13:03:03.615Z
Hussar Patrol,DDN,Duel Decks: Speed vs. Cunning,55,normal,common,1,13475,faaf07b2-57b0-4437-a8d7-51ff8894a7db,0.04,false,false,near_mint,en,GBP,2026-07-13T13:03:03.614Z
Lightning Helix,RVR,Ravnica Remastered,197,normal,uncommon,1,89966,e99aead9-caa8-40ff-b8bd-2885004a2fd1,0.2,false,false,near_mint,en,GBP,2026-07-13T13:03:03.613Z
Rhizome Lurcher,GRN,Guilds of Ravnica,196,normal,common,1,287,db9ce92b-79cc-4e26-b511-30ae8ea6a2a1,0.19,false,false,near_mint,en,GBP,2026-07-13T13:03:03.612Z
"Zahur, Glory's Past",DFT,Aetherdrift,229,normal,rare,1,102968,31944ea5-045d-481d-9aff-3c7ed663813a,0.25,false,false,near_mint,en,GBP,2026-07-13T13:03:03.611Z
"Tam, Observant Sequencer // Deep Sight",SOS,Secrets of Strixhaven,237,normal,uncommon,1,111713,7120e71b-2976-451b-89a7-a1665dc6fb6b,0.22,false,false,near_mint,en,GBP,2026-07-13T13:03:03.610Z
